%%MatrixMarket matrix coordinate real general
% Generated 01-Mar-2016
9635 2225 252
370 15  7.4009916
381 15  3.5440999
224 20  11.274727
1163 20  6.3420333
2143 49  4.0867257
2111 69  0.64554989
2 99  2.905139
76 113  0.51259809
167 117  1.0814293
1536 131  1.0689085
1590 140  3.4632874
3521 146  3.3313893
2202 160  3.4239835
2111 161  1.5778245
160 180  0.85585239
2393 188  0.53526591
4010 200  4.5066924
2393 202  0.54694477
2883 210  0.61943636
939 216  2.5305211
3843 242  0.17899263
2367 246  0.17887757
2393 251  0.54905941
4524 252  1.6582161
215 269  2.403263
2642 277  6.2948418
532 287  5.3806355
1296 346  2.29821
2624 349  2.4767015
2202 359  0.55106637
3394 382  0.54387893
156 397  3.284153
281 399  1.2655131
221 405  3.0688172
207 409  2.0101268
1048 409  2.159676
1206 409  1.8977441
2989 430  0.63070183
5000 451  1.5729596
1453 454  0.059813491
3769 454  0.25697229
3320 455  0.65715008
2181 479  0.58992122
1015 481  0.024714903
3189 482  2.4036473
207 498  6.1159428
215 498  5.4132546
2734 501  2.4585277
5959 531  1.601
5959 532  5.5234693
5829 613  3.0292613
5829 637  3.0292613
422 639  1.09329
151 641  2.4572351
175 641  2.3059646
2452 646  1.4657643
4290 678  2.5396395
7049 703  0.66230959
5767 711  0.85016182
3395 754  8.4885701
865 763  14.641475
1137 763  13.36338
4635 763  54.782069
5667 763  10.201274
5734 763  6.4391493
151 766  38.673447
1013 766  7.0930868
4302 766  3.9636441
4303 766  1.4076987
5387 766  35.336095
2012 769  1.501593
422 771  1.09329
865 785  3.8150236
780 792  1.5030838
4532 815  2.5211355
4209 833  0.7169207399999999
6320 835  1.565483
84 836  3.7275861
312 878  2.7259668
6277 885  1.5403037
721 899  1.3432792
721 904  0.47407662
3957 923  0.49255045
3925 927  0.59372251
7781 937  0.46087366
1792 938  3.7523937
5562 943  0.5859570200000001
6146 944  5.4738391
750 946  1.5253584
3567 958  8.476460100000001
1302 959  1.2466325
719 974  7.0945473
1192 974  2.4343336
7718 983  1.8263809
471 990  6.3608
3539 997  6.5929464
5000 999  0.66387467
633 1011  1.4660075
476 1017  0.40805145
1285 1017  7.3033844
3394 1028  0.5425879300000001
6119 1030  6.7413193
6119 1033  8.5344161
1500 1034  1.3165198
6119 1048  5.572035
1887 1064  4.4420182
3925 1064  5.4814445
6119 1065  3.9172477
194 1070  1.217792
6119 1075  7.5883359
893 1077  0.4693975
1377 1083  2.5450716
97 1107  5.8440632
5562 1109  9.4224256
4639 1130  6.9054482
1005 1136  2.5308518
3539 1137  1.7790262
8200 1141  5.5037374
990 1175  5.7349366
1525 1175  3.2018204
2475 1186  5.9108125
2499 1186  1.7661358
7117 1186  19.048314
1239 1189  7.3537102
8022 1189  8.978808600000001
8023 1189  4.9883435
1361 1211  0.48812829
44 1216  4.6164377
6334 1228  0.33281736
721 1236  1.3816058
3394 1241  2.3867945
4639 1243  6.0568069
40 1276  0.32351507
58 1276  16.680919
131 1276  2.2791255
1999 1276  39.57053
4669 1276  25.651836
2964 1284  1.379854
1032 1299  2.4096123
8473 1362  2.465483
6685 1370  1.2306287
7470 1381  6.5112348
8515 1381  5.5221994
8473 1401  2.4639809
8554 1428  1.5118386
7287 1431  5.5016682
8278 1431  4.2035296
2922 1447  0.57861937
1151 1473  1.2727675
4697 1476  2.1839891
5430 1608  7.3471143
1013 1684  1.8520885
2330 1684  2.7141017
5495 1684  16.510357
1934 1688  3.2212733
8939 1688  12.325935
8143 1692  1.5607251
8922 1692  3.5257022
9016 1692  0.65747704
245 1804  6.3073083
1151 1804  0.32613341
3459 1804  2.7243747
9127 1804  29.670547
9128 1804  35.583577
605 1825  0.95581417
3534 1825  12.552656
600 1826  1.06462
1393 1826  1.4882288
5794 1829  1.465278
7461 1833  6.0779556
6627 1835  0.59688114
1367 1837  1.1161671
6050 1840  3.3011435
1542 1843  0.48378466
2946 1853  0.26045791
74 1855  0.15566712
1070 1858  0.50147263
1379 1867  1.7382971
1369 1895  0.99949271
600 1898  1.8102996
8245 1902  3.8122392
1652 1910  3.4725276
3815 1911  0.76260186
8245 1912  5.7286248
6720 1914  0.96757285
1379 1918  1.3984731
3917 1921  2.3414061
8245 1923  3.5505647
6054 1927  5.6296481
804 1932  1.609784
9355 1934  8.3695497
9315 1942  3.4962086
5393 1945  4.5312383
1211 1946  7.1442972
3271 1946  5.5517711
2354 1947  3.2099259
4524 1960  1.5814286
9299 1962  0.46710081
9396 1963  2.3874243
1269 1966  4.7504826
4856 1969  2.3001617
8245 1975  3.5384925
4437 1976  1.4792541
3377 2012  0.46744264
60 2015  1.2630648
6351 2025  1.336871
804 2037  2.3471419
7491 2046  0.79393978
7358 2047  5.5066916
6334 2054  0.59580351
60 2059  1.1679102
9613 2064  0.33792064
67 2088  2.2154359
804 2091  0.054223562
2946 2092  8.204359200000001
4518 2092  2.4235103
444 2094  6.6769441
5705 2107  0.19964198
7416 2110  9.1614933
444 2123  6.6769441
2143 2124  2.535619
4298 2124  4.3281063
1081 2129  6.987445
6108 2129  0.61283365
6720 2136  0.96757285
1379 2137  1.3984731
6780 2143  4.349734
4355 2144  0.46243339
2143 2160  3.6710785
4298 2160  6.4518399
815 2161  11.192977
5393 2180  6.4939462
1032 2182  3.349247
2097 2185  3.7031089
9355 2188  7.3716189
600 2190  3.4788803
863 2191  1.1874112
444 2192  2.9841124
1231 2202  3.4555084
3465 2202  0.0058999248
7461 2203  10.273734
1231 2207  0.11158588
8 2208  0.7565435
2107 2210  2.4004571
9315 2211  3.4962086
6054 2212  5.6296481
7416 2215  9.1616804
2946 2223  8.9277228
554 2225  8.508978000000001
766 2225  0.40558427
1063 2225  4.7392099
1369 2225  15.915714
